708	LEILA	0.02%	48,705
709	CORNELIA	0.02%	48,705
710	BIANCA	0.02%	48,705
711	SIMONE	0.02%	48,705
712	BETTYE	0.02%	48,705
713	RANDI	0.02%	48,705
714	VIRGIE	0.02%	48,705
715	LATISHA	0.02%	48,705
716	BARBRA	0.02%	48,705
717	GEORGINA	0.02%	48,705
718	ELIZA	0.02%	48,705
719	LEANN	0.02%	48,705
720	BRIDGETTE	0.02%	48,705
721	RHODA	0.01%	45,458
722	HALEY	0.01%	45,458
723	ADELA	0.01%	45,458
724	NOLA	0.01%	45,458
725	BERNADINE	0.01%	45,458
726	FLOSSIE	0.01%	45,458
727	ILA	0.01%	45,458
728	GRETA	0.01%	45,458
729	RUTHIE	0.01%	45,458
730	NELDA	0.01%	45,458
731	MINERVA	0.01%	45,458
732	LILLY	0.01%	45,458
733	TERRIE	0.01%	45,458
734	LETHA	0.01%	45,458
735	HILARY	0.01%	45,458
736	ESTELA	0.01%	45,458
737	VALARIE	0.01%	45,458
738	BRIANNA	0.01%	45,458
739	ROSALYN	0.01%	45,458
740	EARLINE	0.01%	45,458
741	CATALINA	0.01%	45,458
742	AVA	0.01%	45,458
743	MIA	0.01%	45,458
744	CLARISSA	0.01%	45,458
745	LIDIA	0.01%	45,458
746	CORRINE	0.01%	45,458
747	ALEXANDRIA	0.01%	45,458
748	CONCEPCION	0.01%	45,458
749	TIA	0.01%	45,458
750	SHARRON	0.01%	45,458
751	RAE	0.01%	45,458
752	DONA	0.01%	45,458
753	ERICKA	0.01%	45,458
754	JAMI	0.01%	45,458
755	ELNORA	0.01%	45,458
756	CHANDRA	0.01%	45,458
757	LENORE	0.01%	45,458
758	NEVA	0.01%	42,211
759	MARYLOU	0.01%	42,211
760	MELISA	0.01%	42,211
761	TABATHA	0.01%	42,211
762	SERENA	0.01%	42,211
763	AVIS	0.01%	42,211
764	ALLIE	0.01%	42,211
765	SOFIA	0.01%	42,211
766	JEANIE	0.01%	42,211
767	ODESSA	0.01%	42,211
768	NANNIE	0.01%	42,211
769	HARRIETT	0.01%	42,211
770	LORAINE	0.01%	42,211
771	PENELOPE	0.01%	42,211
772	MILAGROS	0.01%	42,211
773	EMILIA	0.01%	42,211
774	BENITA	0.01%	42,211
775	ALLYSON	0.01%	42,211
776	ASHLEE	0.01%	42,211
777	TANIA	0.01%	42,211
778	TOMMIE	0.01%	42,211
779	ESMERALDA	0.01%	42,211
780	KARINA	0.01%	42,211
781	EVE	0.01%	42,211
782	PEARLIE	0.01%	42,211
783	ZELMA	0.01%	42,211
784	MALINDA	0.01%	42,211
785	NOREEN	0.01%	42,211
786	TAMEKA	0.01%	42,211
787	SAUNDRA	0.01%	42,211
788	HILLARY	0.01%	42,211
789	AMIE	0.01%	42,211
790	ALTHEA	0.01%	38,964
791	ROSALINDA	0.01%	38,964
792	JORDAN	0.01%	38,964
793	LILIA	0.01%	38,964
794	ALANA	0.01%	38,964
795	GAY	0.01%	38,964
