248	KELLY	0.06%	204,560	CAROLINE	0.09%	275,993
249	KURT	0.06%	201,313	DORA	0.08%	272,746
250	ALLAN	0.06%	198,066	JO	0.08%	269,499
251	NELSON	0.06%	198,066	VICKIE	0.08%	266,252
252	GUY	0.06%	194,819	MATTIE	0.08%	263,005
253	CLAYTON	0.06%	194,819	TERRY	0.08%	259,758
254	HUGH	0.06%	194,819	MAXINE	0.08%	256,511
255	MAX	0.06%	191,572	IRMA	0.08%	256,511
256	DWAYNE	0.06%	191,572	MABEL	0.08%	253,264
257	DWIGHT	0.06%	188,325	MARSHA	0.08%	253,264
258	ARMANDO	0.06%	188,325	MYRTLE	0.08%	253,264
259	FELIX	0.06%	188,325	LENA	0.08%	250,017
260	JIMMIE	0.06%	188,325	CHRISTY	0.08%	250,017
261	EVERETT	0.06%	185,078	DEANNA	0.08%	246,770
262	JORDAN	0.06%	181,831	PATSY	0.08%	246,770
263	IAN	0.06%	181,831	HILDA	0.08%	243,523
264	WALLACE	0.06%	181,831	GWENDOLYN	0.07%	240,276
265	KEN	0.06%	178,584	JENNIE	0.07%	237,029
266	BOB	0.06%	178,584	NORA	0.07%	237,029
267	JAIME	0.06%	178,584	MARGIE	0.07%	233,782
268	CASEY	0.05%	175,337	NINA	0.07%	233,782
269	ALFREDO	0.05%	175,337	CASSANDRA	0.07%	233,782
270	ALBERTO	0.05%	172,090	LEAH	0.07%	233,782
271	DAVE	0.05%	172,090	PENNY	0.07%	230,535
272	IVAN	0.05%	172,090	KAY	0.07%	230,535
273	JOHNNIE	0.05%	168,843	PRISCILLA	0.07%	230,535
274	SIDNEY	0.05%	168,843	NAOMI	0.07%	230,535
275	BYRON	0.05%	168,843	CAROLE	0.07%	230,535
276	JULIAN	0.05%	168,843	BRANDY	0.07%	227,288
277	ISAAC	0.05%	165,596	OLGA	0.07%	227,288
278	MORRIS	0.05%	165,596	BILLIE	0.07%	224,041
279	CLIFTON	0.05%	162,349	DIANNE	0.07%	224,041
280	WILLARD	0.05%	162,349	TRACEY	0.07%	224,041
281	DARYL	0.05%	162,349	LEONA	0.07%	224,041
282	ROSS	0.05%	162,349	JENNY	0.07%	220,795
283	VIRGIL	0.05%	159,102	FELICIA	0.07%	220,795
284	ANDY	0.05%	159,102	SONIA	0.07%	220,795
285	MARSHALL	0.05%	159,102	MIRIAM	0.07%	214,301
286	SALVADOR	0.05%	159,102	VELMA	0.07%	214,301
287	PERRY	0.05%	159,102	BECKY	0.07%	214,301
288	KIRK	0.05%	159,102	BOBBIE	0.07%	211,054
289	SERGIO	0.05%	159,102	VIOLET	0.07%	211,054
290	MARION	0.05%	155,855	KRISTINA	0.07%	211,054
291	TRACY	0.05%	155,855	TONI	0.06%	207,807
292	SETH	0.05%	155,855	MISTY	0.06%	204,560
293	KENT	0.05%	155,855	MAE	0.06%	204,560
294	TERRANCE	0.05%	155,855	SHELLY	0.06%	201,313
295	RENE	0.05%	155,855	DAISY	0.06%	201,313
296	EDUARDO	0.05%	152,608	RAMONA	0.06%	201,313
297	TERRENCE	0.05%	152,608	SHERRI	0.06%	201,313
298	ENRIQUE	0.05%	149,361	ERIKA	0.06%	198,066
299	FREDDIE	0.05%	149,361	KATRINA	0.06%	198,066
300	WADE	0.05%	146,114	CLAIRE	0.06%	198,066
301	AUSTIN	0.04%	142,867	LINDSEY	0.06%	194,819
302	STUART	0.04%	142,867	LINDSAY	0.06%	194,819
303	FREDRICK	0.04%	139,620	GENEVA	0.06%	191,572
304	ARTURO	0.04%	139,620	GUADALUPE	0.06%	191,572
305	ALEJANDRO	0.04%	139,620	BELINDA	0.06%	191,572
306	JACKIE	0.04%	139,620	MARGARITA	0.06%	191,572
307	JOEY	0.04%	139,620	SHERYL	0.06%	191,572
308	NICK	0.04%	139,620	CORA	0.06%	188,325
309	LUTHER	0.04%	139,620	FAYE	0.06%	188,325
310	WENDELL	0.04%	136,373	ADA	0.06%	185,078
311	JEREMIAH	0.04%	136,373	NATASHA	0.06%	185,078
312	EVAN	0.04%	136,373	SABRINA	0.06%	185,078
313	JULIUS	0.04%	136,373	ISABEL	0.06%	185,078
314	DANA	0.04%	136,373	MARGUERITE	0.06%	181,831
315	DONNIE	0.04%	133,126	HATTIE	0.06%	181,831
316	OTIS	0.04%	133,126	HARRIET	0.06%	181,831
317	SHANNON	0.04%	129,879	MOLLY	0.06%	178,584
318	TREVOR	0.04%	129,879	CECILIA	0.06%	178,584
319	OLIVER	0.04%	129,879	KRISTI	0.06%	178,584
320	LUKE	0.04%	129,879	BRANDI	0.06%	178,584
321	HOMER	0.04%	129,879	BLANCHE	0.06%	178,584
322	GERARD	0.04%	129,879	SANDY	0.06%	178,584
323	DOUG	0.04%	129,879	ROSIE	0.06%	178,584
324	KENNY	0.04%	126,632	JOANNA	0.06%	178,584
325	HUBERT	0.04%	126,632	IRIS	0.06%	178,584
326	ANGELO	0.04%	126,632	EUNICE	0.05%	175,337
327	SHAUN	0.04%	126,632	ANGIE	0.05%	175,337
328	LYLE	0.04%	123,385	INEZ	0.05%	172,090
329	MATT	0.04%	123,385	LYNDA	0.05%	172,090
330	LYNN	0.04%	123,385	MADELINE	0.05%	168,843
331	ALFONSO	0.04%	123,385	AMELIA	0.05%	168,843
332	ORLANDO	0.04%	120,138	ALBERTA	0.05%	168,843
333	REX	0.04%	120,138	GENEVIEVE	0.05%	165,596
334	CARLTON	0.04%	120,138	MONIQUE	0.05%	165,596
335	ERNESTO	0.04%	120,138	JODI	0.05%	165,596
336	CAMERON	0.04%	120,138	JANIE	0.05%	165,596
337	NEAL	0.04%	120,138	MAGGIE	0.05%	165,596
338	PABLO	0.04%	116,891	KAYLA	0.05%	165,596
339	LORENZO	0.04%	116,891	SONYA	0.05%	165,596
340	OMAR	0.04%	116,891	JAN	0.05%	165,596
341	WILBUR	0.04%	116,891	LEE	0.05%	165,596
342	BLAKE	0.04%	116,891	KRISTINE	0.05%	165,596
343	GRANT	0.04%	116,891	CANDACE	0.05%	165,596
344	HORACE	0.04%	116,891	FANNIE	0.05%	162,349
345	RODERICK	0.04%	116,891	MARYANN	0.05%	162,349
346	KERRY	0.04%	116,891	OPAL	0.05%	162,349
347	ABRAHAM	0.04%	113,644	ALISON	0.05%	162,349
348	WILLIS	0.04%	113,644	YVETTE	0.05%	162,349
349	RICKEY	0.04%	113,644	MELODY	0.05%	162,349
350	JEAN	0.04%	113,644	LUZ	0.05%	159,102
351	IRA	0.04%	113,644	SUSIE	0.05%	159,102
352	ANDRES	0.03%	110,397	OLIVIA	0.05%	159,102
353	CESAR	0.03%	110,397	FLORA	0.05%	159,102
354	JOHNATHAN	0.03%	110,397	SHELLEY	0.05%	159,102
355	MALCOLM	0.03%	110,397	KRISTY	0.05%	155,855
356	RUDOLPH	0.03%	110,397	MAMIE	0.05%	155,855
357	DAMON	0.03%	110,397	LULA	0.05%	155,855
358	KELVIN	0.03%	110,397	LOLA	0.05%	155,855
359	RUDY	0.03%	110,397	VERNA	0.05%	155,855
360	PRESTON	0.03%	110,397	BEULAH	0.05%	155,855
361	ALTON	0.03%	107,150	ANTOINETTE	0.05%	155,855
362	ARCHIE	0.03%	107,150	CANDICE	0.05%	149,361
363	MARCO	0.03%	107,150	JUANA	0.05%	149,361
364	WM	0.03%	107,150	JEANNETTE	0.05%	149,361
365	PETE	0.03%	103,903	PAM	0.05%	149,361
366	RANDOLPH	0.03%	103,903	KELLI	0.05%	149,361
367	GARRY	0.03%	103,903	HANNAH	0.05%	146,114
368	GEOFFREY	0.03%	103,903	WHITNEY	0.05%	146,114
369	JONATHON	0.03%	103,903	BRIDGET	0.05%	146,114
370	FELIPE	0.03%	103,903	KARLA	0.04%	142,867
371	BENNIE	0.03%	103,903	CELIA	0.04%	142,867
372	GERARDO	0.03%	103,903	LATOYA	0.04%	139,620
373	ED	0.03%	103,903	PATTY	0.04%	139,620
374	DOMINIC	0.03%	103,903	SHELIA	0.04%	139,620
375	ROBIN	0.03%	103,903	GAYLE	0.04%	139,620
376	LOREN	0.03%	103,903	DELLA	0.04%	139,620
377	DELBERT	0.03%	100,656	VICKY	0.04%	139,620
378	COLIN	0.03%	100,656	LYNNE	0.04%	139,620
379	GUILLERMO	0.03%	100,656	SHERI	0.04%	136,373
380	EARNEST	0.03%	100,656	MARIANNE	0.04%	136,373
381	LUCAS	0.03%	100,656	KARA	0.04%	133,126
382	BENNY	0.03%	97,409	JACQUELYN	0.04%	133,126
383	NOEL	0.03%	97,409	ERMA	0.04%	133,126
384	SPENCER	0.03%	97,409	BLANCA	0.04%	133,126
385	RODOLFO	0.03%	97,409	MYRA	0.04%	129,879
386	MYRON	0.03%	97,409	LETICIA	0.04%	129,879
387	EDMUND	0.03%	97,409	PAT	0.04%	129,879
388	GARRETT	0.03%	94,162	KRISTA	0.04%	129,879
389	SALVATORE	0.03%	94,162	ROXANNE	0.04%	129,879
390	CEDRIC	0.03%	94,162	ANGELICA	0.04%	126,632
391	LOWELL	0.03%	94,162	JOHNNIE	0.04%	126,632
392	GREGG	0.03%	94,162	ROBYN	0.04%	126,632
393	SHERMAN	0.03%	90,915	FRANCIS	0.04%	126,632
394	WILSON	0.03%	90,915	ADRIENNE	0.04%	126,632
395	DEVIN	0.03%	90,915	ROSALIE	0.04%	126,632
396	SYLVESTER	0.03%	90,915	ALEXANDRA	0.04%	126,632
397	KIM	0.03%	90,915	BROOKE	0.04%	126,632
398	ROOSEVELT	0.03%	90,915	BETHANY	0.04%	126,632
399	ISRAEL	0.03%	90,915	SADIE	0.04%	126,632
400	JERMAINE	0.03%	90,915	BERNADETTE	0.04%	126,632
401	FORREST	0.03%	87,668	TRACI	0.04%	123,385
402	WILBERT	0.03%	87,668	JODY	0.04%	123,385
403	LELAND	0.03%	87,668	KENDRA	0.04%	123,385
404	SIMON	0.03%	84,421	JASMINE	0.04%	123,385
405	GUADALUPE	0.03%	84,421	NICHOLE	0.04%	123,385
406	CLARK	0.03%	84,421	RACHAEL	0.04%	123,385
407	IRVING	0.03%	84,421	CHELSEA	0.04%	123,385
408	CARROLL	0.03%	84,421	MABLE	0.04%	123,385
409	BRYANT	0.03%	84,421	ERNESTINE	0.04%	123,385
410	OWEN	0.03%	84,421	MURIEL	0.04%	123,385
411	RUFUS	0.03%	81,174	MARCELLA	0.04%	120,138
412	WOODROW	0.03%	81,174	ELENA	0.04%	120,138
413	SAMMY	0.03%	81,174	KRYSTAL	0.04%	120,138
414	KRISTOPHER	0.03%	81,174	ANGELINA	0.04%	120,138
415	MACK	0.03%	81,174	NADINE	0.04%	116,891
416	LEVI	0.03%	81,174	KARI	0.04%	116,891
417	MARCOS	0.03%	81,174	ESTELLE	0.04%	116,891
418	GUSTAVO	0.03%	81,174	DIANNA	0.04%	116,891
419	JAKE	0.03%	81,174	PAULETTE	0.04%	116,891
420	LIONEL	0.02%	77,927	LORA	0.04%	116,891
421	MARTY	0.02%	77,927	MONA	0.04%	113,644
422	TAYLOR	0.02%	77,927	DOREEN	0.04%	113,644
423	ELLIS	0.02%	77,927	ROSEMARIE	0.04%	113,644
424	DALLAS	0.02%	77,927	ANGEL	0.04%	113,644
425	GILBERTO	0.02%	77,927	DESIREE	0.04%	113,644
426	CLINT	0.02%	77,927	ANTONIA	0.04%	113,644
427	NICOLAS	0.02%	77,927	HOPE	0.03%	110,397
428	LAURENCE	0.02%	77,927	GINGER	0.03%	110,397
429	ISMAEL	0.02%	77,927	JANIS	0.03%	110,397
430	ORVILLE	0.02%	77,927	BETSY	0.03%	110,397
431	DREW	0.02%	77,927	CHRISTIE	0.03%	110,397
432	JODY	0.02%	77,927	FREDA	0.03%	110,397
433	ERVIN	0.02%	74,680	MERCEDES	0.03%	107,150
434	DEWEY	0.02%	74,680	MEREDITH	0.03%	107,150
435	AL	0.02%	74,680	LYNETTE	0.03%	107,150
436	WILFRED	0.02%	74,680	TERI	0.03%	107,150
